ref;value;datasheet;footprint;Field1;Field2;Field3;Field4;Field5;Field6;Field7
C1;22p;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21C220JBANNNC;TME;CL21C220JBANNNC;;;
C2;22p;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21C220JBANNNC;TME;CL21C220JBANNNC;;;
C3;1u;http://www.jm.pl/karty/CCCX7R.pdf;;http://www.jm.pl/karty/CCCX7R.pdf;Samsung;CL21B105KAFNNNE;TME;CL21B105KAFNNNE;;;
C4;100n;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21B104KBCNNNC;TME;CL21B104KBCNNNC;;;
C5;100n;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21B104KBCNNNC;TME;CL21B104KBCNNNC;;;
C6;100n;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21B104KBCNNNC;TME;CL21B104KBCNNNC;;;
C7;100n;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21B104KBCNNNC;TME;CL21B104KBCNNNC;;;
C8;1u;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;;http://www.tme.eu/pl/Document/7da762c1dbaf553c64ad9c40d3603826/mlcc_samsung.pdf;Samsung;CL21B104KBCNNNC;TME;CL21B104KBCNNNC;;;
D1;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D2;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D3;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D4;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D5;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D6;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D7;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D8;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D9;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D10;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D11;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D12;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D13;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D14;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D15;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D16;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D17;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D18;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D19;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D20;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D21;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D22;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D23;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
D24;1N4148;;;;DC Components;CD4148WS(0805C);TME;1N4148-0805;;;
DC1;LED;;;;;;;;;;
DF1;LED;;;;;;;;;;
DF2;LED;;;;;;;;;;
DF3;LED;;;;;;;;;;
IC1;ATMEGA32U4;http://www.atmel.com/dyn/resources/prod_documents/doc7766.pdf;TQFP44;http://www.atmel.com/dyn/resources/prod_documents/doc7766.pdf;Atmel;ATmega32U4-AU;DigiKey;ATMEGA32U4-AU-ND;;;
